way_point_1	way_point_2	distance_meters	duration_minutes
Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	18034	29.783333333333335
Institute for management and planning studies, Shafei, Tehran, Tehran Province	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	6856	15.85
Institute for Studies in Theoretical Physics and Mathematics	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	5854	12.9
Iran Polymer and Petrochemical Institute	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	36470	37.55
Police University Amin	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	28075	31.366666666666667
shahid rajaee teacher training university	Malek Ashtar University of Technology, Shabanlou, Tehran, Tehran Province	358	0.6333333333333333
Shahed University, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	4020	13.116666666666667
Kharazmi University, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	6491	18.583333333333332
Alzahra University	Tarbiat Modares University, Tehran, Tehran Province	8412	13.983333333333333
Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	4835	18.666666666666668
Institute for management and planning studies, Shafei, Tehran, Tehran Province	Tarbiat Modares University, Tehran, Tehran Province	16744	30.95
Institute for Studies in Theoretical Physics and Mathematics	Tarbiat Modares University, Tehran, Tehran Province	15910	28.516666666666666
Iran Polymer and Petrochemical Institute	Tarbiat Modares University, Tehran, Tehran Province	24443	23.65
Police University Amin	Tarbiat Modares University, Tehran, Tehran Province	18509	21.816666666666666
shahid rajaee teacher training university	Tarbiat Modares University, Tehran, Tehran Province	15253	19.95
Shahed University, Tehran, Tehran Province	Kharazmi University, Tehran, Tehran Province	2422	7.0
Shahed University, Tehran, Tehran Province	Alzahra University	10525	22.5
Shahed University, Tehran, Tehran Province	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	4059	10.55
Shahed University, Tehran, Tehran Province	Institute for management and planning studies, Shafei, Tehran, Tehran Province	17366	34.03333333333333
Shahed University, Tehran, Tehran Province	Institute for Studies in Theoretical Physics and Mathematics	18395	31.483333333333334
Shahed University, Tehran, Tehran Province	Iran Polymer and Petrochemical Institute	27667	32.36666666666667
Shahed University, Tehran, Tehran Province	Police University Amin	21733	30.533333333333335
Shahed University, Tehran, Tehran Province	shahid rajaee teacher training university	14465	22.333333333333332
Kharazmi University, Tehran, Tehran Province	Alzahra University	11483	24.816666666666666
Kharazmi University, Tehran, Tehran Province	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	4517	12.566666666666666
Kharazmi University, Tehran, Tehran Province	Institute for management and planning studies, Shafei, Tehran, Tehran Province	17862	30.683333333333334
